Epoch,Norm,Opt,Lr,Momentum,Weight_decay,Train_Loss,Test_Loss,Test_Accuracy
46,Batch Norm,sgd,0.01,0.5,0,0.00025104820244329864,1.060123953260953,0.8076
47,Batch Norm,sgd,0.01,0.5,0,0.0001824975404634198,1.0680913510201853,0.8072
48,Batch Norm,sgd,0.01,0.5,0,0.00021637802600779908,1.0682021854799004,0.8071
49,Batch Norm,sgd,0.01,0.5,0,0.00017930712018431017,1.0628832080696202,0.8082
50,Batch Norm,sgd,0.01,0.5,0,0.000183263363501364,1.0653902156443535,0.8064
1,Batch Norm,sgd,0.01,0.9,0,1.77165654461707,1.3620420075670074,0.5072
2,Batch Norm,sgd,0.01,0.9,0,1.1322087240036187,1.0343228027790408,0.6377
3,Batch Norm,sgd,0.01,0.9,0,0.8183137269885948,0.8752565678161911,0.7047
4,Batch Norm,sgd,0.01,0.9,0,0.6157326287473254,0.6406190651881544,0.7822
5,Batch Norm,sgd,0.01,0.9,0,0.455635559223497,0.6403797265095047,0.7813
6,Batch Norm,sgd,0.01,0.9,0,0.34013098752712045,0.6501610037646716,0.7892
7,Batch Norm,sgd,0.01,0.9,0,0.2513848702659083,0.7480756051932709,0.7804
8,Batch Norm,sgd,0.01,0.9,0,0.17908675847646524,0.8428368926802768,0.7817
9,Batch Norm,sgd,0.01,0.9,0,0.1436547132928277,0.76564122981663,0.7944
10,Batch Norm,sgd,0.01,0.9,0,0.11189390151092159,0.7932432871076125,0.8035
11,Batch Norm,sgd,0.01,0.9,0,0.08515613781683662,0.8267424385758895,0.8068
12,Batch Norm,sgd,0.01,0.9,0,0.07094694387948955,0.8432478199276743,0.8085
13,Batch Norm,sgd,0.01,0.9,0,0.0605256051060927,0.9251907083052623,0.8073
14,Batch Norm,sgd,0.01,0.9,0,0.049427359685887726,0.9541595155679727,0.8123
15,Batch Norm,sgd,0.01,0.9,0,0.0417238990937019,0.9003382543974285,0.8185
16,Batch Norm,sgd,0.01,0.9,0,0.03475861654267349,1.0016170355338085,0.8073
17,Batch Norm,sgd,0.01,0.9,0,0.03195118858530174,0.9480552571483806,0.826
18,Batch Norm,sgd,0.01,0.9,0,0.03341871164286571,0.9464982932881464,0.8121
19,Batch Norm,sgd,0.01,0.9,0,0.02266515073630854,0.9787396271772022,0.8238
20,Batch Norm,sgd,0.01,0.9,0,0.020634037577305964,1.02164927690844,0.8109
21,Batch Norm,sgd,0.01,0.9,0,0.007102842775189563,0.8776441401318659,0.8396
22,Batch Norm,sgd,0.01,0.9,0,0.0008674146672517991,0.8867619509183908,0.842
23,Batch Norm,sgd,0.01,0.9,0,0.0006602288483504487,0.895716483457179,0.843
24,Batch Norm,sgd,0.01,0.9,0,0.00037563842445653044,0.9069238274912291,0.8446
25,Batch Norm,sgd,0.01,0.9,0,0.0002727976216960078,0.9188194044783146,0.8436
26,Batch Norm,sgd,0.01,0.9,0,0.0002552113987675816,0.9335749036149134,0.8456
27,Batch Norm,sgd,0.01,0.9,0,0.0002460148519106314,0.9474677937694743,0.8444
28,Batch Norm,sgd,0.01,0.9,0,0.00019668062623749743,0.9484167649776121,0.8445
29,Batch Norm,sgd,0.01,0.9,0,0.00014209225926611102,0.9492669226248053,0.8462
30,Batch Norm,sgd,0.01,0.9,0,0.00011347619728791132,0.9558715307259862,0.8472
31,Batch Norm,sgd,0.01,0.9,0,0.00012124645016698763,0.9628190239773521,0.8458
32,Batch Norm,sgd,0.01,0.9,0,0.00013743134432608428,0.9562831309777272,0.8474
33,Batch Norm,sgd,0.01,0.9,0,0.00010363001455728169,0.9567546342747121,0.8472
34,Batch Norm,sgd,0.01,0.9,0,0.00010479105072088323,0.9581795538528056,0.8468
35,Batch Norm,sgd,0.01,0.9,0,9.823615544198273e-05,0.9671905814092371,0.8455
36,Batch Norm,sgd,0.01,0.9,0,0.00011200104116658417,0.966823851383185,0.847
37,Batch Norm,sgd,0.01,0.9,0,0.00010695468560984026,0.969329950930197,0.8469
38,Batch Norm,sgd,0.01,0.9,0,8.926025403267079e-05,0.9723996814293198,0.8465
39,Batch Norm,sgd,0.01,0.9,0,9.53326328532462e-05,0.9757654365104965,0.8446
40,Batch Norm,sgd,0.01,0.9,0,9.143993772091874e-05,0.9658107304874854,0.8459
41,Batch Norm,sgd,0.01,0.9,0,9.625930019435013e-05,0.9762423770337165,0.8458
42,Batch Norm,sgd,0.01,0.9,0,8.360347969627888e-05,0.9704959799971762,0.8461
43,Batch Norm,sgd,0.01,0.9,0,0.00011809452558397059,0.9675215501574022,0.8462
44,Batch Norm,sgd,0.01,0.9,0,9.340569694826687e-05,0.9681567983536781,0.8453
45,Batch Norm,sgd,0.01,0.9,0,9.876248479900135e-05,0.9803634172753443,0.8463
46,Batch Norm,sgd,0.01,0.9,0,0.00011302222498235768,0.9775704330281366,0.8477
47,Batch Norm,sgd,0.01,0.9,0,7.81585199524147e-05,0.9672793202762362,0.8462
48,Batch Norm,sgd,0.01,0.9,0,8.049752784903636e-05,0.97784089363074,0.8461
49,Batch Norm,sgd,0.01,0.9,0,8.053372283290124e-05,0.9742610718630538,0.8475
50,Batch Norm,sgd,0.01,0.9,0,8.89554774122931e-05,0.9707961369164383,0.8462
